EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:09:37	0	0.0500	4.0995126824629935	3.4932498931884766	0.0	0.0	0.0	0.0
2	18:09:37	0	0.0500	3.5335513466282893	2.9411308765411377	0.0	0.0	0.0	0.0
3	18:09:38	0	0.0500	2.970377711245888	2.3462555408477783	0.0	0.0	0.0	0.0
